capcode,discipline,locatie/divisie,beschrijving
1104154,BRW,Regionaal,Officier Defensie
1104701,BRW,Regionaal,Adviseur Gevaarlijke Stoffen
1104710,BRW,Regionaal,Algemeen Commandant
1104711,BRW,Regionaal,Informatiemanager ROT
1104715,BRW,Regionaal,Coordinator Logistiek
1104716,BRW,Regionaal,Team Brandonderzoek
1104719,BRW,Regionaal,Actiecentrum Brandweer Chef Informatie
1104721,BRW,Regionaal,Actiecentrum Brandweer Chef Ondersteuning
1104722,BRW,Regionaal,Compagnies Commandant Brandweer
1104723,BRW,Regionaal,Leider CoPI
1104724,BRW,Regionaal,OvD Bevolkingszorg
1104725,BRW,Regionaal,Informatiemanager-CoPI
1104728,BRW,Regionaal,Geo Informatie Medewerker
1104730,BRW,Regionaal,Communicatieadviseur ROT
1104732,BRW,Regionaal,Omgevingsdienst
1104739,BRW,Regionaal,Alarmeringsfunctionaris Midden
1104740,BRW,Regionaal,Alarmeringsfunctionaris Oost
1104741,BRW,Regionaal,Onbekende code
1104743,BRW,Regionaal,Onbekende code
1104761,BRW,Regionaal,OvD (Noord)
1104762,BRW,Regionaal,OvD (Oost)
1104763,BRW,Regionaal,OvD (Zuid)
1104764,BRW,Regionaal,OvD (West)
1104765,BRW,Regionaal,OvD's (Groepscode)
1104766,BRW,Regionaal,HOvD's (Groepscode)
1104767,BRW,Regionaal,Piketgroep C-Log
1104768,BRW,Regionaal,Onbekende code
1104769,BRW,Regionaal,Coördinator Verkenningseenheden
1104770,BRW,Regionaal,Vrije OvD
1104775,BRW,Regionaal,Hoofd Officier van Dienst
1104779,BRW,Regionaal,Procedure extreem weer
1104781,BRW,OCB Brabant-Zuidoost,GRIP 1
1104782,BRW,OCB Brabant-Zuidoost,GRIP 2
1104783,BRW,OCB Brabant-Zuidoost,GRIP 3
1104790,BRW,OCB Brabant-Zuidoost,Centralisten
1104791,BRW,OCB Brabant-Zuidoost,Centralisten van Dienst
1104797,BRW,OCB Brabant-Zuidoost,Interregionale Alarmering door MKB Limburg
1104798,BRW,OCB Brabant-Zuidoost,Interregionale Alarmering door MKB ZeeBra
1104799,BRW,OCB Brabant-Zuidoost,Monitorcode
1104800,BRW,Regionaal,Voorlichter
1104846,BRW,Aalst,Postalarm
1104898,BRW,Aalst,Monitorcode
1104946,BRW,Waalre,Postalarm
1104972,BRW,Aalst-Waalre,Ondersteuners CO-MU
