capcode,discipline,locatie/divisie,beschrijving
0100000,BRW,Aalsmeer,Postalarm
0100010,BRW,Aalsmeer,Bevelvoerder van dienst
0100011,BRW,Aalsmeer,Bezetting TS
0100012,BRW,Aalsmeer,Bezetting HA
0100091,BRW,Aalsmeer,Lichtkrant
0100099,BRW,Aalsmeer,Noodprocedure
0100100,BRW,Amstelveen,Vrijwilligers Postalarm
0100108,BRW,Amstelveen,Verkenningseenheid
0100110,BRW,Amstelveen,Beroeps (Bevelvoerder)
0100111,BRW,Amstelveen,Beroeps (Bezetting TS/WO)
0100112,BRW,Amstelveen,Beroeps (Bezetting AL/HV)
0100120,BRW,Amstelveen,Vrijwilligers (Bevelvoerder van Dienst)
0100121,BRW,Amstelveen,Vrijwilligers (Bezetting TS/HV/WO)
0100122,BRW,Amstelveen,Vrijwilligers (Hebezetting)
0100131,BRW,Amstelveen,Beroeps (Bezetting AB)
0100181,BRW,Amstelveen,Vrijwilligers (Kazernetechniek)
0100191,BRW,Amstelveen,Beroeps (Lichtkrant)
0100192,BRW,Amstelveen,Vrijwilligers (Lichtkrant)
0100193,BRW,Amstelveen,Beroeps (Lichtkrant Werkplaats AB)
0100200,BRW,Anton,Kazernealarm noodprocedure
0100210,BRW,Anton,Bevelvoerder
0100211,BRW,Anton,Bezetting TS
0100212,BRW,Anton,Bezetting AL
0100291,BRW,Anton,Lichtkrant
0100300,BRW,Dirk,Kazernealarm noodprocedure
0100310,BRW,Dirk,Bevelvoerder
0100311,BRW,Dirk,Bezetting TS
0100312,BRW,Dirk,AL groep
0100391,BRW,Dirk,Lichtkrant
0100400,BRW,Driemond,Postalarm
0100408,BRW,Driemond,Verkenningseenheid
0100409,BRW,Driemond,Bezetting TS-SK
0100410,BRW,Driemond,Bevelvoerder van Dienst
0100411,BRW,Driemond,Bezetting TS
0100412,BRW,Driemond,Bezetting AB
0100491,BRW,Driemond,Lichtkrant
0100500,BRW,Hendrik,Kazernealarm noodprocedure
0100510,BRW,Hendrik,Bevelvoerder van Dienst
0100511,BRW,Hendrik,Bezetting TS
0100512,BRW,Hendrik,Bezetting AL
0100591,BRW,Hendrik,Lichtkrant
0100600,BRW,IJsbrand,Kazernealarm noodprocedure
0100610,BRW,IJsbrand,Bevelvoerder
0100611,BRW,IJsbrand,Bezetting TS
0100691,BRW,IJsbrand,Lichtkrant
0100700,BRW,Nico,Kazernealarm noodprocedure
0100710,BRW,Nico,Bevelvoerder van Dienst
0100711,BRW,Nico,Bezetting TS / Duikploeg
0100712,BRW,Nico,Bezetting AL
0100791,BRW,Nico,Lichtkrant
0100800,BRW,Osdorp,Kazernealarm noodprocedure
0100810,BRW,Osdorp,Bevelvoerder van Dienst
0100811,BRW,Osdorp,Bezetting TS
0100891,BRW,Osdorp,Lichtkrant
0100900,BRW,Pieter,Kazernealarm Noodprocedure
0100910,BRW,Pieter,Bevelvoerder
0100911,BRW,Pieter,Bezetting TS
0100912,BRW,Pieter,Bezetting AL
0100991,BRW,Pieter,Lichtkrant
0101000,BRW,Galwin,Postalarm Gezamenlijke Brandweer
0101010,BRW,Sloterdijk GBA,Bevelvoerder
0101011,BRW,Sloterdijk GBA,Bezetting TS-UHD
0101012,BRW,Sloterdijk GBA,Bezetting AS-IB (Industriële brandbestrijding)
0101091,BRW,Sloterdijk GBA,Lichtkrant
0101100,BRW,Teunis,Kazernealarm noodprocedure
0101110,BRW,Teunis,Bevelvoerder
0101111,BRW,Teunis,Bezetting TS
0101112,BRW,Teunis,Bezetting AL /HV-KR
0101191,BRW,Teunis,Lichtkrant
0101200,BRW,Victor,Kazernealarm noodprocedure
